ngay,ma,kn_gia_tri,kn_khoi_luong
2026-09-10,SSI,-10764348000,-512588
2026-09-10,STB,13610922000,174499
2026-09-10,SZC,-1604625000,-82500
2026-09-10,TCB,30776760000,949900
2026-09-10,TPB,-7343490000,-508200
2026-09-10,VCB,30409367000,515413
2026-09-10,VCI,-2630550000,-123500
2026-09-10,VHC,-6717494400,-130184
2026-09-10,VHM,-299546329100,-4097761
2026-09-10,VIB,-1192379500,-87035
2026-09-10,VIC,248851061900,1004647
2026-09-10,VIX,22032031200,1596524
2026-09-10,VJC,-1289560000,-10300
2026-09-10,VND,-38112910000,-2404600
2026-09-10,VNM,13243692000,214995
2026-09-10,VPB,28550390000,1038196
2026-09-10,VRE,1446656300,54694
2026-09-10,VSC,-2380735000,-175700
2026-09-10,VTP,5601258800,110261
2026-09-11,ACB,-21620311650,-980513
2026-09-11,AGR,-1265000,-100
2026-09-11,ANV,98595000,6300
2026-09-11,BID,-15720960000,-441600
2026-09-11,BSI,-192960000,-7200
2026-09-11,BSR,108797705000,3949100
2026-09-11,BVH,5132160000,80190
2026-09-11,CTD,58000000,1000
2026-09-11,CTG,-22428806250,-748875
2026-09-11,CTS,1068550000,49700
2026-09-11,DBC,-2945600000,-184100
2026-09-11,DCM,17621500000,542200
2026-09-11,DGC,-4249575000,-90900
2026-09-11,DGW,41407440000,932600
2026-09-11,DIG,-7474185000,-743700
2026-09-11,DPM,-8034880000,-358700
2026-09-11,DXG,-1532950000,-142600
2026-09-11,EIB,-1752240000,-104300
2026-09-11,FPT,153324300,2109
2026-09-11,FRT,4096300000,29900
2026-09-11,FTS,2424900000,118000
2026-09-11,GAS,-12899737400,-155606
2026-09-11,GEX,173517750,7245
2026-09-11,GMD,-15128880000,-202800
2026-09-11,HAH,-8161780000,-177430
2026-09-11,HCM,3613350000,141700
2026-09-11,HDB,-49266359600,-1838297
2026-09-11,HDG,-1639660000,-102800
2026-09-11,HPG,-41596365300,-1952881
2026-09-11,HSG,340680000,33400
2026-09-11,IJC,-1087316160,-160608
2026-09-11,KBC,-2671200000,-100800
2026-09-11,KDH,-20637560400,-1266108
2026-09-11,LPB,7831590000,167700
2026-09-11,MBB,-139718254500,-7074342
2026-09-11,MBS,226050000,13700
2026-09-11,MCH,9713441800,68501
2026-09-11,MSB,-1517740000,-117200
2026-09-11,MSN,-39353037500,-591775
2026-09-11,MWG,1077343000,15110
2026-09-11,NAB,-987840000,-88200
2026-09-11,NKG,-2916180000,-285900
2026-09-11,NLG,29405350000,1190500
2026-09-11,NT2,-787200000,-38400
2026-09-11,NVL,-22815220000,-1870100
2026-09-11,OCB,-5521260000,-541300
2026-09-11,ORS,1471600000,113200
2026-09-11,PDR,-1701400000,-144800
2026-09-11,PLX,-3160960000,-89800
2026-09-11,PNJ,38699272200,1037514
2026-09-11,POW,-91992600,-7301
2026-09-11,PVD,-10724886550,-578161
2026-09-11,PVS,20362176000,530265
2026-09-11,SAB,-3929003850,-89601
2026-09-11,SHB,4282428150,370773
2026-09-11,SSB,8419830000,460100
2026-09-11,SSI,-17117589300,-843231
2026-09-11,STB,-225730145900,-2920183
2026-09-11,SZC,-36000000,-2000
2026-09-11,TCB,33406856400,1057179
2026-09-11,TPB,-9428145000,-666300
2026-09-11,VCB,25958364000,446020
2026-09-11,VCI,-52640573250,-2625465
2026-09-11,VHC,-1794599800,-35749
2026-09-11,VHM,-93271896000,-1295443
2026-09-11,VIB,-2811053750,-212155
2026-09-11,VIC,63365781900,260443
2026-09-11,VIX,-18875923500,-1424598
2026-09-11,VJC,7382240000,59200
2026-09-11,VND,-8256750000,-545000
2026-09-11,VNM,-70812522100,-1182179
2026-09-11,VPB,-130459964250,-4840815
2026-09-11,VRE,-2931251200,-114502
2026-09-11,VSC,-412100000,-31700
2026-09-11,VTP,1124689500,22721
